路线编号,路线起点,路线终点,路线距离(m),起点行政区,终点行政区
3517,3349,3350,109.57,净月区,净月区
3518,3341,3351,224.89,净月区,净月区
3519,3351,3352,226.45,净月区,净月区
3520,3352,3345,336.12,净月区,净月区
3521,3345,3353,341.91,净月区,净月区
3522,3354,3338,117.04,净月区,净月区
3523,3355,3356,15.66,净月区,净月区
3524,1778,3357,199.86,经开区,经开区
3525,3358,3359,96.2,净月区,净月区
3526,3360,3361,482.49,宽城区,宽城区
3527,3362,3363,230.73,净月区,净月区
3528,3363,3340,223.22,净月区,净月区
3529,3340,3364,227.25,净月区,净月区
3530,3365,3366,10.75,净月区,净月区
3531,3366,3367,323.49,净月区,净月区
3532,3367,3368,364.51,净月区,净月区
3533,3368,3369,16.55,净月区,净月区
3534,3369,3370,301.95,净月区,净月区
3535,3370,3371,390.72,净月区,净月区
3536,3372,3373,17.89,净月区,净月区
3537,3374,3375,399.39,净月区,净月区
3538,3375,3376,588.13,净月区,净月区
3539,3376,3377,13.37,净月区,净月区
3540,3377,3378,366.67,净月区,净月区
3541,3378,3379,321.45,净月区,净月区
3542,3379,3380,12.55,净月区,净月区
3543,3381,3362,389.7,经开区,净月区
3544,3362,3352,380.98,净月区,净月区
3545,3352,3382,212.04,净月区,净月区
3546,3382,3383,18.1,净月区,净月区
3547,3383,3331,197.3,净月区,净月区
3548,3331,3384,13.53,净月区,净月区
3549,3384,3385,241.52,净月区,净月区
3550,3385,3386,206.31,净月区,净月区
3551,3387,3366,338.96,净月区,净月区
3552,3366,3388,18.53,净月区,净月区
3553,3388,3389,293.81,净月区,净月区
3554,3389,3379,291.7,净月区,净月区
3555,3379,3390,494.44,净月区,净月区
3556,3391,3360,58.05,宽城区,宽城区
3557,3390,3380,495.55,净月区,净月区
3558,3380,3392,584.32,净月区,净月区
3559,3392,3365,18.2,净月区,净月区
3560,3365,3387,339.41,净月区,净月区
3561,3393,3349,524.08,净月区,净月区
3562,3394,3395,68.83,净月区,净月区
3563,3396,3397,29.88,净月区,净月区
3564,3397,3398,28.12,净月区,净月区
3565,3398,3399,79.22,净月区,净月区
3566,3399,3400,46.72,净月区,净月区
3567,3400,3401,45.54,净月区,净月区
3568,3401,3402,133.07,净月区,净月区
3569,3402,3354,44.44,净月区,净月区
3570,3404,3339,230.7,经开区,经开区
3571,3339,3405,224.22,经开区,经开区
3572,3405,3381,230.08,经开区,经开区
3573,3381,3406,685.31,经开区,净月区
3574,3407,3408,397.51,净月区,净月区
3575,3408,3409,305.98,净月区,净月区
3576,3409,3410,16.21,净月区,净月区
3577,3410,3411,362.94,净月区,净月区
3578,3411,3388,324.24,净月区,净月区
3579,3388,3392,10.97,净月区,净月区
3580,3329,3412,289.17,净月区,净月区
3581,3413,3372,134.66,净月区,净月区
3582,3372,3382,132.11,净月区,净月区
3583,3382,3356,184.11,净月区,净月区
3584,3356,3346,180.15,净月区,净月区
3585,3346,3414,274.46,净月区,净月区
3586,3415,3397,349.24,净月区,净月区
3587,3397,3401,348.1,净月区,净月区
3588,3359,3395,107.54,净月区,净月区
3589,3395,3416,448.47,净月区,净月区
3590,3416,3417,462.03,净月区,净月区
3591,3417,3390,34.6,净月区,净月区
3592,3418,3332,44.45,净月区,净月区
3593,1668,3336,60.56,宽城区,宽城区
3594,3419,3420,476.22,经开区,经开区
3595,3342,3421,39.92,净月区,净月区
3596,3405,3363,390.26,经开区,净月区
3597,3363,3351,379.8,净月区,净月区
3598,3422,3423,77.71,净月区,净月区
3599,3384,3338,67.04,净月区,净月区
3600,3424,3425,1728.34,净月区,净月区
3601,3423,3426,105.73,净月区,净月区
3602,3426,3377,466.98,净月区,净月区
3603,3377,3427,346.94,净月区,净月区
3604,3427,3410,293.51,净月区,净月区
3605,3410,3368,17.59,净月区,净月区
3606,3421,3428,108.46,净月区,净月区
3607,3428,3426,16.85,净月区,净月区
3608,3426,3396,187.92,净月区,净月区
3609,3396,3412,263.99,净月区,净月区
3610,3412,3416,410.67,净月区,净月区
3611,3044,3424,79.52,净月区,净月区
3612,3429,3334,59.88,净月区,净月区
3613,3430,3413,76.62,净月区,净月区
3614,3400,3431,162.07,净月区,净月区
3615,3431,3415,79.93,净月区,净月区
3616,3415,3398,117.49,净月区,净月区
3617,3432,3348,353.24,净月区,净月区
3618,3433,3434,312.14,净月区,净月区
3619,3434,3435,27.23,净月区,净月区
3620,3436,1489,80.11,净月区,净月区
3621,3437,3369,604.98,净月区,净月区
3622,3369,3409,18.45,净月区,净月区
3623,3409,3438,294.72,净月区,净月区
3624,3438,3376,342.39,净月区,净月区
3625,3376,3428,464.9,净月区,净月区
3626,3428,3430,106.48,净月区,净月区
3627,3386,3394,140.07,净月区,净月区
3628,3362,3343,213.25,净月区,净月区
3629,3343,3439,443.87,净月区,净月区
3630,3399,3431,117.32,净月区,净月区
3631,3431,3418,32.62,净月区,净月区
3632,3440,3433,45.97,净月区,净月区
3633,3357,3419,80.24,经开区,经开区
3634,3441,3442,270.17,汽开区,汽开区
3635,1260,3443,163.92,汽开区,汽开区
3636,627,1262,121.52,汽开区,汽开区
3637,1262,3441,87.69,汽开区,汽开区
3638,3441,3444,232.98,汽开区,汽开区
3639,3445,2154,577.54,净月区,净月区
3640,2154,3251,481.87,净月区,净月区
3641,3251,2106,425.11,净月区,净月区
3642,2106,2087,282.47,净月区,净月区
3643,2087,2079,14.49,净月区,净月区
3644,3446,2694,742.05,南关区,南关区
3645,2694,1970,775.32,南关区,南关区
3646,3447,3448,173.81,南关区,南关区
3647,3448,3449,309.81,南关区,南关区
3648,3449,3450,158.78,南关区,南关区
3649,3450,1531,9.93,南关区,南关区
3650,2690,3451,172.01,南关区,南关区
3651,3451,3452,255.29,南关区,南关区
3652,3452,3133,167.56,南关区,南关区
3653,3453,3454,516.14,绿园区,绿园区
3654,3454,3455,238.44,绿园区,绿园区
3655,3455,1194,9.94,绿园区,绿园区
3656,3448,1254,199.44,南关区,南关区
3657,3456,3457,179.63,绿园区,绿园区
3658,3457,3458,246.43,绿园区,绿园区
3659,3458,3459,23.33,绿园区,绿园区
3660,3459,3460,6.02,绿园区,绿园区
3661,3460,3461,130.05,绿园区,绿园区
3662,3461,3462,131.71,绿园区,绿园区
3663,3462,3463,154.06,绿园区,绿园区
3664,3463,3464,124.05,绿园区,绿园区
3665,3464,3465,154.62,绿园区,绿园区
3666,3466,410,359.05,长春新区(高新),长春新区(高新)
3667,3467,3468,11.33,汽开区,汽开区
3668,3468,3469,155.68,汽开区,汽开区
3669,3469,3321,72.24,汽开区,汽开区
3670,3321,3470,113.54,汽开区,汽开区
3671,3470,733,13.19,汽开区,汽开区
3672,3471,3472,295.35,南关区,南关区
3673,3473,3474,244.66,绿园区,绿园区
3674,3475,723,446.7,汽开区,绿园区
3675,723,3476,158.69,绿园区,绿园区
3676,3476,3456,201.36,绿园区,绿园区
3677,3456,3477,328.22,绿园区,绿园区
3678,3477,3473,97.2,绿园区,绿园区
3679,3473,3478,253.44,绿园区,绿园区
3680,3478,3479,162.24,绿园区,绿园区
3681,3479,3480,246.44,绿园区,绿园区
3682,3480,1193,7.88,绿园区,绿园区
3683,1193,3481,11.91,绿园区,绿园区
3684,1308,3482,497.34,朝阳区,朝阳区
3685,3452,3483,298.83,南关区,南关区
3686,3483,3135,200.44,南关区,南关区
3687,3484,3449,387.83,南关区,南关区
3688,3449,3485,300.77,南关区,南关区
3689,3485,3471,291.76,南关区,南关区
3690,3471,1902,413.36,南关区,南关区
3691,147,3470,167.59,汽开区,汽开区
3692,3470,523,644.85,汽开区,汽开区
3693,1247,3486,186.04,南关区,南关区
3694,3486,3447,21.63,南关区,南关区
3695,3447,3487,398.31,南关区,南关区
3696,3487,3485,116.84,南关区,南关区
3697,3485,3488,151.02,南关区,南关区
3698,3488,1532,11.46,南关区,南关区
3699,1532,2960,11.82,南关区,南关区
3700,2960,3489,10.52,南关区,南关区
3701,3490,3491,214.57,汽开区,汽开区
3702,3492,3493,104.95,朝阳区,朝阳区
3703,3493,3494,28.1,朝阳区,朝阳区
3704,3494,3495,164.18,朝阳区,朝阳区
3705,3496,3475,77.22,汽开区,汽开区
3706,3475,3497,194.34,汽开区,汽开区
3707,3497,722,443.65,汽开区,绿园区
3708,413,3498,1017.44,南关区,朝阳区
3709,3498,3499,31.54,朝阳区,朝阳区
3710,1012,3500,388.94,汽开区,汽开区
3711,3500,158,515.12,汽开区,汽开区
3712,158,3501,7.69,汽开区,汽开区
3713,3501,3317,198.76,汽开区,汽开区
3714,3317,3502,294.41,汽开区,汽开区
3715,3502,3503,254.9,汽开区,汽开区
3716,3503,1350,3.84,汽开区,汽开区
3717,1350,3504,180.65,汽开区,汽开区
3718,3505,3506,45.66,净月区,净月区
3719,3507,3508,146.97,净月区,净月区
3720,3509,3510,555.79,净月区,净月区
3721,3511,3512,28.05,净月区,净月区
3722,3512,3513,924.38,净月区,净月区
3723,3506,3514,18.85,净月区,净月区
3724,3515,3510,451.62,净月区,净月区
3725,3516,3517,283.5,净月区,净月区
3726,3517,3512,334.97,净月区,净月区
3727,3518,3519,699.52,净月区,净月区
3728,3519,3520,9.36,净月区,净月区
3729,3521,3522,377.59,净月区,净月区
3730,3522,3523,269.0,净月区,净月区
3731,3523,3524,652.4,净月区,净月区
3732,3520,3521,63.76,净月区,净月区
3733,3525,3526,38.26,净月区,净月区
3734,2196,3515,262.95,净月区,净月区
3735,3527,3528,18.83,净月区,净月区
3736,3528,3529,46.93,净月区,净月区
3737,3531,3532,15.82,净月区,净月区
3738,3532,3533,131.45,净月区,净月区
3739,3533,3527,128.96,净月区,净月区
3740,3527,3514,24.62,净月区,净月区
3741,3514,3507,93.21,净月区,净月区
3742,3507,3531,13.22,净月区,净月区
3743,3534,3516,33.21,净月区,净月区
3744,3516,3532,110.24,净月区,净月区
3745,3533,3513,108.91,净月区,净月区
3746,3517,3535,24.44,净月区,净月区
3747,2192,3536,715.32,净月区,净月区
3748,3536,3511,205.71,净月区,净月区
3749,3511,3535,330.32,净月区,净月区
3750,3535,3534,275.62,净月区,净月区
3751,3534,3508,32.75,净月区,净月区
3752,3508,3525,28.58,净月区,净月区
3753,3526,3353,150.46,净月区,净月区
3754,3537,3538,20.51,绿园区,绿园区
3755,3538,3539,514.57,绿园区,绿园区
3756,3539,3540,289.32,绿园区,绿园区
3757,3541,3542,280.42,绿园区,绿园区
3758,3542,3543,233.04,绿园区,绿园区
3759,3543,719,275.61,绿园区,绿园区
3760,719,3544,512.36,绿园区,绿园区
3761,3544,189,8.3,绿园区,汽开区
3762,189,671,15.84,汽开区,汽开区
3763,671,3545,15.08,汽开区,汽开区
3764,3545,752,488.02,汽开区,汽开区
3765,752,3546,427.52,汽开区,汽开区
3766,3547,3548,84.93,汽开区,汽开区
3767,1319,3549,89.06,汽开区,汽开区
3768,3549,3550,88.7,汽开区,汽开区
3769,3551,1323,42.66,汽开区,汽开区
3770,1347,1321,85.57,朝阳区,汽开区
3771,1322,3552,77.72,汽开区,汽开区
3772,3552,3553,71.97,汽开区,汽开区
3773,202,3554,144.42,绿园区,绿园区
3774,3554,3555,92.0,绿园区,绿园区
3775,3555,3556,105.12,绿园区,绿园区
3776,3556,3541,15.42,绿园区,绿园区
3777,3541,3557,297.07,绿园区,绿园区
3778,3557,3558,109.03,绿园区,绿园区
3779,3558,763,105.28,绿园区,绿园区
3780,763,756,11.9,绿园区,绿园区
3781,1347,3559,88.12,朝阳区,朝阳区
3782,63,3560,298.53,南关区,南关区
3783,3560,3561,104.03,南关区,南关区
3784,3561,3562,98.92,南关区,南关区
3785,3562,3563,216.54,南关区,南关区
3786,3563,1021,230.29,南关区,朝阳区
3787,1021,3564,245.94,朝阳区,朝阳区
3788,3564,3565,260.57,朝阳区,朝阳区
3789,3565,3566,7.42,朝阳区,朝阳区
3790,3566,3567,11.69,朝阳区,朝阳区
3791,3567,3568,7.89,朝阳区,朝阳区
3792,3568,3569,101.66,朝阳区,朝阳区
3793,3569,940,439.08,朝阳区,朝阳区
3794,940,3570,11.82,朝阳区,朝阳区
3795,3570,3571,181.71,朝阳区,朝阳区
3796,3571,3572,200.33,朝阳区,朝阳区
3797,3572,3573,163.17,朝阳区,朝阳区
3798,3573,3574,508.32,朝阳区,朝阳区
3799,3574,3575,94.02,朝阳区,朝阳区
3800,3575,3576,159.6,朝阳区,朝阳区
3801,3576,3577,158.43,朝阳区,朝阳区
3802,3577,3578,144.78,朝阳区,朝阳区
3803,3578,3579,130.58,朝阳区,朝阳区
3804,3579,3580,51.08,朝阳区,朝阳区
3805,3580,3581,15.54,朝阳区,朝阳区
3806,3581,3582,41.47,朝阳区,朝阳区
3807,3582,3583,129.45,朝阳区,朝阳区
3808,3549,3551,168.21,汽开区,汽开区
3809,3584,3548,163.63,朝阳区,汽开区
3810,3585,3586,284.81,南关区,南关区
3811,3587,3588,371.74,南关区,南关区
3812,3589,3590,123.94,南关区,南关区
3813,3591,3588,237.86,南关区,南关区
3814,3588,3592,221.86,南关区,南关区
3815,3593,3594,351.51,南关区,南关区
3816,3594,3591,567.91,南关区,南关区
3817,3591,3590,19.69,南关区,南关区
3818,39,3595,257.83,南关区,南关区
3819,3595,3563,159.55,南关区,南关区
3820,3563,65,8.6,南关区,南关区
3821,65,3596,10.75,南关区,南关区
3822,3596,3597,9.87,南关区,南关区
3823,3597,3598,169.85,南关区,南关区
3824,3598,3599,90.04,南关区,南关区
3825,3599,3600,175.29,南关区,南关区
3826,3600,966,400.64,南关区,朝阳区
3827,3601,3602,232.43,二道区,二道区
3828,3603,3604,39.38,二道区,二道区
3829,3604,3605,249.29,二道区,二道区
3830,1389,3606,22.7,二道区,二道区
3831,3607,3608,341.66,二道区,二道区
3832,3608,3609,311.45,二道区,二道区
3833,3609,3610,217.41,二道区,二道区
3834,1473,3611,234.6,南关区,南关区
3835,3611,3612,490.22,南关区,二道区
3836,3612,3613,246.27,二道区,二道区
3837,3613,3614,38.49,二道区,二道区
3838,3614,3606,288.89,二道区,二道区
3839,3606,3607,269.33,二道区,二道区
3840,3607,3305,676.11,二道区,二道区
3841,3615,3616,662.72,南关区,南关区
3842,1525,3258,474.73,南关区,南关区
3843,3619,3618,263.01,南关区,南关区
3844,3618,3617,18.95,南关区,南关区
3845,3617,3620,130.57,南关区,南关区
3846,2615,3000,128.22,汽开区,汽开区
3847,3622,3623,1150.08,宽城区,宽城区
3848,3623,3624,538.56,宽城区,宽城区
3849,3624,3625,393.49,宽城区,宽城区
3850,3625,3626,26.14,宽城区,宽城区
3851,1680,3627,2376.95,绿园区,绿园区
3852,3627,3628,265.93,绿园区,绿园区
3853,3629,3630,13.27,宽城区,宽城区
3854,3630,3631,943.15,宽城区,宽城区
3855,3631,3632,51.07,宽城区,宽城区
3856,3632,3633,317.4,宽城区,宽城区
3857,3633,3634,231.36,宽城区,宽城区
3858,3634,3623,1055.17,宽城区,宽城区
3859,75,3573,9.62,朝阳区,朝阳区
3860,3573,3635,105.21,朝阳区,朝阳区
3861,3635,3636,180.39,朝阳区,朝阳区
3862,3636,1468,57.85,朝阳区,朝阳区
3863,1468,1177,200.29,朝阳区,朝阳区
3864,1177,3637,42.5,朝阳区,朝阳区
3865,3637,3638,149.3,朝阳区,朝阳区
3866,3638,3639,101.1,朝阳区,朝阳区
3867,3639,484,108.73,朝阳区,朝阳区
3868,484,1167,294.37,朝阳区,朝阳区
3869,1167,3640,7.31,朝阳区,朝阳区
3870,3641,3642,9.11,朝阳区,朝阳区
3871,3642,3643,118.09,朝阳区,朝阳区
3872,3643,3644,70.01,朝阳区,朝阳区
3873,3644,3645,75.78,朝阳区,朝阳区
3874,3645,3646,83.95,朝阳区,朝阳区
3875,3646,3647,42.27,朝阳区,朝阳区
3876,3647,3648,44.62,朝阳区,朝阳区
3877,3648,3649,56.12,朝阳区,朝阳区
3878,3650,3651,96.46,朝阳区,朝阳区
3879,3651,1501,181.14,朝阳区,朝阳区
3880,1501,3652,161.49,朝阳区,朝阳区
3881,3652,1512,158.86,朝阳区,朝阳区
3882,1512,3653,253.71,朝阳区,朝阳区
3883,3653,280,233.75,朝阳区,朝阳区
3884,280,279,35.64,朝阳区,朝阳区
3885,279,499,227.41,朝阳区,朝阳区
3886,499,3654,174.58,朝阳区,朝阳区
3887,3654,3641,200.84,朝阳区,朝阳区
3888,3641,3655,87.55,朝阳区,朝阳区
3889,3655,3656,93.59,朝阳区,朝阳区
3890,3656,939,11.93,朝阳区,朝阳区
3891,939,3657,177.7,朝阳区,朝阳区
3892,3657,3658,188.84,朝阳区,朝阳区
3893,3658,3659,174.11,朝阳区,朝阳区
3894,3659,3660,8.04,朝阳区,朝阳区
3895,3660,3661,11.67,朝阳区,朝阳区
3896,3661,3662,6.83,朝阳区,朝阳区
3897,3662,976,274.39,朝阳区,朝阳区
3898,976,1020,232.67,朝阳区,朝阳区
3899,1020,3596,230.86,朝阳区,南关区
3900,3596,3663,314.77,南关区,南关区
3901,3663,3664,106.59,南关区,南关区
3902,3664,3665,202.6,南关区,南关区
3903,3665,3666,98.43,南关区,南关区
3904,3666,42,35.16,南关区,南关区
3905,42,1023,21.83,南关区,南关区
3906,1023,3667,26.99,南关区,南关区
3907,3667,3668,125.84,南关区,南关区
3908,3668,3669,12.92,南关区,南关区
3909,3669,3670,263.33,南关区,南关区
3910,3670,3109,80.75,南关区,南关区
3911,3109,3671,35.56,南关区,南关区
3912,3671,3672,73.97,南关区,南关区
3913,3672,2531,12.3,南关区,南关区
3914,2531,2510,27.28,南关区,南关区
3915,3673,3649,182.02,朝阳区,朝阳区
3916,3649,3674,203.95,朝阳区,朝阳区
3917,3674,492,173.88,朝阳区,朝阳区
3918,952,3675,10.49,朝阳区,朝阳区
3919,3675,3676,12.22,朝阳区,朝阳区
3920,3676,3677,90.06,朝阳区,朝阳区
3921,3677,3678,96.78,朝阳区,朝阳区
3922,3679,3680,173.52,绿园区,绿园区
3923,3680,3681,138.04,绿园区,绿园区
3924,3681,3682,306.1,绿园区,绿园区
3925,3682,3683,27.45,绿园区,绿园区
3926,3683,3684,441.42,绿园区,绿园区
3927,3685,3686,134.37,宽城区,宽城区
3928,3686,1331,145.42,宽城区,宽城区
3929,3687,3684,205.02,绿园区,绿园区
3930,3684,3688,237.78,绿园区,绿园区
3931,3688,3689,121.98,绿园区,绿园区
3932,3690,3691,13.92,宽城区,宽城区
3933,3691,3692,179.32,宽城区,宽城区
3934,3692,3693,118.59,宽城区,宽城区
3935,3694,3695,189.19,朝阳区,绿园区
3936,3695,3696,231.65,绿园区,朝阳区
3937,3697,3698,127.88,宽城区,宽城区
3938,3698,3699,117.96,宽城区,宽城区
3939,3699,3700,114.87,宽城区,宽城区
3940,3700,3701,44.23,宽城区,宽城区
3941,3701,3702,164.92,宽城区,宽城区
3942,3703,3695,110.88,朝阳区,绿园区
3943,3695,3704,93.5,绿园区,朝阳区
3944,3704,3705,95.41,朝阳区,朝阳区
3945,3705,3706,94.48,朝阳区,朝阳区
3946,3706,3707,10.18,朝阳区,朝阳区
3947,3707,3708,8.01,朝阳区,朝阳区
3948,3708,3709,9.79,朝阳区,朝阳区
3949,3709,3710,88.43,朝阳区,朝阳区
3950,3710,3711,82.57,朝阳区,朝阳区
3951,3712,3713,46.56,宽城区,宽城区
3952,3713,3714,53.38,宽城区,宽城区
3953,3714,3715,56.8,宽城区,宽城区
3954,3715,3716,102.59,宽城区,宽城区
3955,3717,3718,700.78,宽城区,宽城区
3956,1334,3719,66.99,宽城区,宽城区
3957,3719,3692,51.46,宽城区,宽城区
3958,3692,3720,126.28,宽城区,宽城区
3959,3720,3699,146.87,宽城区,宽城区
3960,3699,3721,101.97,宽城区,宽城区
3961,3721,3722,57.81,宽城区,宽城区
3962,1333,3693,72.3,宽城区,宽城区
3963,3693,3723,125.49,宽城区,宽城区
3964,3723,3698,147.47,宽城区,宽城区
3965,3698,3724,104.97,宽城区,宽城区
3966,3724,3725,106.32,宽城区,宽城区
3967,3141,3726,12.71,绿园区,宽城区
3968,3726,1332,9.58,宽城区,宽城区
3969,1332,3685,118.17,宽城区,宽城区
3970,3685,3727,27.17,宽城区,宽城区
3971,3727,3728,137.06,宽城区,宽城区
3972,3728,3697,11.78,宽城区,宽城区
3973,3697,3729,104.74,宽城区,宽城区
3974,3729,3730,128.61,宽城区,宽城区
3975,3730,3731,31.93,宽城区,宽城区
3976,3731,3732,10.68,宽城区,宽城区
3977,3732,3733,15.33,宽城区,宽城区
3978,3733,3734,10.85,宽城区,宽城区
3979,3734,3735,52.04,宽城区,宽城区
3980,3735,3736,161.04,宽城区,宽城区
3981,3736,3737,68.66,宽城区,宽城区
3982,3737,3738,154.36,宽城区,宽城区
3983,3738,3739,347.11,宽城区,宽城区
3984,3739,3740,153.12,宽城区,宽城区
3985,3740,3741,184.95,宽城区,宽城区
3986,3741,3742,41.48,宽城区,宽城区
3987,3742,3743,449.42,宽城区,宽城区
3988,3743,3744,429.96,宽城区,宽城区
3989,3744,3745,527.74,宽城区,宽城区
3990,3745,3746,377.99,宽城区,宽城区
3991,3746,3747,92.59,宽城区,宽城区
3992,3748,3140,8.85,宽城区,宽城区
3993,3140,3749,12.12,宽城区,宽城区
3994,3749,1335,10.48,宽城区,宽城区
3995,1335,3690,108.88,宽城区,宽城区
3996,3690,3750,208.21,宽城区,宽城区
3997,3750,3702,174.42,宽城区,宽城区
3998,3702,3751,14.16,宽城区,宽城区
3999,3751,3752,10.14,宽城区,宽城区
4000,3752,3753,12.33,宽城区,宽城区
4001,3753,3754,10.34,宽城区,宽城区
4002,3754,3716,103.26,宽城区,宽城区
4003,3727,3723,127.63,宽城区,宽城区
4004,3723,3720,118.17,宽城区,宽城区
4005,3720,3755,116.1,宽城区,宽城区
4006,3755,3756,43.6,宽城区,宽城区
4007,3756,3750,99.76,宽城区,宽城区
4008,3757,3758,193.95,绿园区,绿园区
4009,3758,3759,272.6,绿园区,绿园区
4010,3760,1231,261.11,南关区,南关区
4011,1231,3761,251.68,南关区,南关区
4012,3761,3095,49.23,南关区,南关区
4013,3762,3763,269.4,朝阳区,朝阳区
4014,1212,3764,241.13,南关区,南关区
4015,3764,3765,74.4,南关区,南关区
4016,3765,3766,257.62,南关区,宽城区
4017,3766,3767,25.25,宽城区,宽城区
4018,3767,1148,16.88,宽城区,宽城区
4019,3097,3760,193.83,南关区,南关区
4020,3760,3768,83.63,南关区,南关区
4021,3768,1516,166.75,南关区,南关区
4022,3769,3770,117.25,南关区,南关区
4023,3770,1215,146.27,南关区,南关区
4024,1224,3771,197.78,朝阳区,朝阳区
4025,3771,3772,247.79,朝阳区,南关区
4026,1243,3771,97.53,朝阳区,朝阳区
4027,3771,3774,101.31,朝阳区,朝阳区
4028,3774,3775,86.37,朝阳区,朝阳区
4029,3775,1078,171.73,朝阳区,南关区
4030,3776,1677,26.5,宽城区,宽城区
4031,1677,3361,116.01,宽城区,宽城区
4032,3361,3777,198.35,宽城区,宽城区
4033,3778,2551,105.06,二道区,二道区
4034,3779,3780,288.96,绿园区,绿园区
4035,3780,3781,269.06,绿园区,绿园区
4036,3781,3782,398.62,绿园区,绿园区
4037,3782,3783,461.09,绿园区,绿园区
4038,3784,3785,97.95,朝阳区,朝阳区
4039,1236,3786,93.66,朝阳区,朝阳区
4040,3787,3788,97.4,朝阳区,朝阳区
4041,3788,1237,94.08,朝阳区,朝阳区
4042,1237,1132,286.2,朝阳区,朝阳区
4043,360,3789,8.88,朝阳区,朝阳区
4044,3789,3790,95.94,朝阳区,朝阳区
4045,3790,1225,158.1,朝阳区,朝阳区
4046,1225,3774,201.32,朝阳区,朝阳区
4047,3774,1400,204.54,朝阳区,南关区
4048,1400,3791,120.64,南关区,南关区
4049,3791,3792,12.41,南关区,南关区
4050,3654,3793,9.01,朝阳区,朝阳区
4051,3793,3794,118.3,朝阳区,朝阳区
4052,3794,3795,68.31,朝阳区,朝阳区
4053,3795,3796,75.77,朝阳区,朝阳区
4054,3796,3797,85.37,朝阳区,朝阳区
4055,3797,3798,85.67,朝阳区,朝阳区
4056,3798,3674,96.44,朝阳区,朝阳区
4057,3674,3799,97.1,朝阳区,朝阳区
4058,3799,899,114.82,朝阳区,朝阳区
4059,899,1508,175.52,朝阳区,朝阳区
4060,1508,991,170.86,朝阳区,朝阳区
4061,991,639,142.68,朝阳区,朝阳区
4062,639,3800,144.86,朝阳区,朝阳区
4063,3800,3801,79.53,朝阳区,朝阳区
4064,3801,3802,90.72,朝阳区,朝阳区
4065,3802,303,13.22,朝阳区,朝阳区
4066,303,270,355.3,朝阳区,朝阳区
4067,3655,3803,8.74,朝阳区,朝阳区
4068,3803,3804,118.72,朝阳区,朝阳区
4069,3804,3805,69.73,朝阳区,朝阳区
4070,3805,3806,75.24,朝阳区,朝阳区
4071,3806,3807,83.86,朝阳区,朝阳区
4072,3807,3808,42.8,朝阳区,朝阳区
4073,3808,3809,43.51,朝阳区,朝阳区
4074,1718,3811,216.84,长春新区(高新),长春新区(高新)
4075,3812,3813,255.21,长春新区(高新),长春新区(高新)
4076,3814,3815,310.57,长春新区(高新),长春新区(高新)
4077,3817,3813,55.79,长春新区(高新),长春新区(高新)
4078,3813,3818,63.55,长春新区(高新),长春新区(高新)
4079,3819,3820,491.19,长春新区(高新),长春新区(高新)
4080,3821,3822,367.4,长春新区(高新),长春新区(高新)
4081,3811,3823,207.68,长春新区(高新),长春新区(高新)
4082,3823,3816,73.14,长春新区(高新),长春新区(高新)
4083,3816,3814,60.67,长春新区(高新),长春新区(高新)
4084,3825,3826,907.79,汽开区,长春新区(高新)
4085,3826,3827,663.7,长春新区(高新),长春新区(高新)
4086,3827,3823,408.91,长春新区(高新),长春新区(高新)
4087,3823,3810,72.02,长春新区(高新),长春新区(高新)
4088,3810,3818,141.04,长春新区(高新),长春新区(高新)
4089,3818,3828,262.8,长春新区(高新),长春新区(高新)
4090,3814,3817,212.72,长春新区(高新),长春新区(高新)
4091,3817,3821,243.89,长春新区(高新),长春新区(高新)
4092,3821,3829,23.86,长春新区(高新),长春新区(高新)
4093,3829,3820,84.85,长春新区(高新),长春新区(高新)
4094,3820,1715,703.7,长春新区(高新),长春新区(高新)
4095,1716,3830,297.31,长春新区(高新),长春新区(高新)
4096,3830,3828,107.3,长春新区(高新),长春新区(高新)
4097,3828,3812,46.21,长春新区(高新),长春新区(高新)
4098,3812,3829,43.65,长春新区(高新),长春新区(高新)
4099,3830,3824,151.3,长春新区(高新),长春新区(高新)
4100,3824,3811,385.07,长春新区(高新),长春新区(高新)
4101,3831,3832,22.25,汽开区,汽开区
4102,3833,3834,28.42,汽开区,汽开区
4103,3835,3836,27.45,汽开区,汽开区
4104,3837,3838,22.6,汽开区,汽开区
4105,3839,3840,25.36,汽开区,汽开区
4106,3841,3842,25.28,汽开区,汽开区
4107,3844,3845,24.88,汽开区,汽开区
4108,3846,3847,28.36,汽开区,汽开区
4109,403,395,11.39,汽开区,汽开区
4110,395,3840,189.65,汽开区,汽开区
4111,3840,102,172.11,汽开区,汽开区
4112,102,3841,213.57,汽开区,汽开区
4113,3841,609,229.86,汽开区,汽开区
4114,609,570,340.29,汽开区,汽开区
4115,570,2712,225.22,汽开区,汽开区
4116,2712,826,209.98,汽开区,汽开区
4117,826,3848,190.65,汽开区,汽开区
4118,3848,2719,12.4,汽开区,汽开区
4119,2719,1370,121.05,汽开区,汽开区
4120,1370,2714,285.32,汽开区,汽开区
4121,2714,3849,185.24,汽开区,汽开区
4122,3849,3850,25.9,汽开区,汽开区
4123,3850,3845,191.7,汽开区,汽开区
4124,3845,2708,182.25,汽开区,汽开区
4125,2708,3851,191.34,汽开区,汽开区
4126,152,3852,102.61,汽开区,汽开区
4127,3852,3838,170.18,汽开区,汽开区
4128,3838,3853,69.45,汽开区,汽开区
